"search-number","evaluation","number-of-bots*","charging-area-radius*","minimum-energy*","energy-decrement*","number-of-boxes*","target-area-radius*","unloaded-step-length*","loaded-step-length*","vision-range*","vision-angle*","grab-range*","max-wiggle-angle*","show-energy?*","maximum-charging-distance*","minimum-charging-energy*","transfer-energy-amount*","num-replicates","best-fitness-so-far","recheck-replications","best-fitness-rechecked"
"1","12130","20","3","75","0.76","60","0","0.66","0.13","3.6","44","0.9","42","true","3","390","105","10","733.5500809077677","10","674.9778016371256"
"2","12050","20","11","215","0.28","60","4","0.09","0.17","8.600000000000001","22","4.3","5","false","4","210","45","10","742.7882528868511","10","659.1326159210419"
"3","12090","20","11","145","0.98","60","8","0.86","0.12","8","0","6.5","8","true","4","320","350","10","681.8905760068953","10","670.1515217915435"
"4","12040","20","17","330","0.6","60","17","0.02","0.03","6.5","4","1.3","28","false","1","10","315","10","673.3019684336449","10","656.8169527717021"
"5","12130","20","17","290","0.15","60","15","0.35000000000000003","0.19","7.1000000000000005","51","3.8000000000000003","7","true","3","160","55","10","675.284289683258","10","701.3991651375915"
"6","12010","20","13","280","0.22","60","6","0.18","0.1","7.6000000000000005","51","0","10","false","3","240","455","10","623.5330146345707","10","715.1609907893485"
"7","12100","20","15","75","0.98","60","4","0.56","0.18","7.1000000000000005","3","4.7","41","true","1","320","25","10","623.3914015429452","10","690.5436573229522"
"8","12070","20","6","35","0.61","60","17","0.9","0","4.6","20","0.7000000000000001","43","true","2","300","410","10","643.5679278960463","10","684.9540770131382"
"9","12200","20","8","210","0.34","60","19","0.22","0.09","2.7","3","1.2000000000000002","23","true","1","90","195","10","679.8101579803555","10","668.9440932495869"
"10","12080","20","6","90","0.64","60","14","0.45","0.1","9.1","41","4.1000000000000005","28","false","3","360","300","10","665.8021820869054","10","706.990126967987"
